闭幕式	閉幕式	<span class="pinYinWrapper"><span class="t4">bì</span> <span class="t4">mù</span> <span class="t4">shì</span></span>	<span class="zhuyin">ㄅㄧˋ ㄇㄨˋ ㄕˋ</span>	[sound:cmn-闭幕式.mp3]	<div class="char"><span class="char-tone4">闭</span><span class="char-tone4">幕</span><span class="char-tone4">式</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t4">bì</span> <span class="t4">mù</span> <span class="t4">shì</span></span></div><div class='meaning'><ul><li>closing ceremony</li></ul></div>
边境	邊境	<span class="pinYinWrapper"><span class="t1">biān</span> <span class="t4">jìng</span></span>	<span class="zhuyin">ㄅㄧㄢ ㄐㄧㄥˋ</span>	[sound:cmn-边境.mp3]	<div class="char"><span class="char-tone1">边</span><span class="char-tone4">境</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t1">biān</span> <span class="t4">jìng</span></span></div><div class='meaning'><ul><li>frontier</li><li> border</li></ul></div>
编辑	編輯	<span class="pinYinWrapper"><span class="t1">biān</span> <span class="t2">jí</span></span>	<span class="zhuyin">ㄅㄧㄢ ㄐㄧˊ</span>	[sound:cmn-编辑.mp3]	<div class="char"><span class="char-tone1">编</span><span class="char-tone2">辑</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t1">biān</span> <span class="t2">jí</span></span></div><div class='meaning'><ul><li>to edit</li><li> to compile</li><li> editor</li><li> compiler</li></ul></div>
变动	變動	<span class="pinYinWrapper"><span class="t4">biàn</span> <span class="t4">dòng</span></span>	<span class="zhuyin">ㄅㄧㄢˋ ㄉㄨㄥˋ</span>	[sound:cmn-变动.mp3]	<div class="char"><span class="char-tone4">变</span><span class="char-tone4">动</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t4">biàn</span> <span class="t4">dòng</span></span></div><div class='meaning'><ul><li>to change</li><li> to fluctuate</li><li> change</li><li> fluctuation</li></ul></div>
便利	便利	<span class="pinYinWrapper"><span class="t4">biàn</span> <span class="t4">lì</span></span>	<span class="zhuyin">ㄅㄧㄢˋ ㄌㄧˋ</span>	[sound:cmn-便利.mp3]	<div class="char"><span class="char-tone4">便</span><span class="char-tone4">利</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t4">biàn</span> <span class="t4">lì</span></span></div><div class='meaning'><ul><li>convenient</li><li> easy</li><li> to facilitate</li></ul></div>
便条	便條	<span class="pinYinWrapper"><span class="t4">biàn</span> <span class="t2">tiáo</span></span>	<span class="zhuyin">ㄅㄧㄢˋ ㄊㄧㄠˊ</span>	[sound:cmn-便条.mp3]	<div class="char"><span class="char-tone4">便</span><span class="char-tone2">条</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t4">biàn</span> <span class="t2">tiáo</span></span></div><div class='meaning'><ul><li>(informal) note</li><li> CL:張|张[zhang1],個|个[ge4]</li></ul></div>
便于	便於	<span class="pinYinWrapper"><span class="t4">biàn</span> <span class="t2">yú</span></span>	<span class="zhuyin">ㄅㄧㄢˋ ㄩˊ</span>	[sound:cmn-便于.mp3]	<div class="char"><span class="char-tone4">便</span><span class="char-tone2">于</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t4">biàn</span> <span class="t2">yú</span></span></div><div class='meaning'><ul><li>easy to</li><li> convenient for</li></ul></div>
宾馆	賓館	<span class="pinYinWrapper"><span class="t1">bīn</span> <span class="t3">guǎn</span></span>	<span class="zhuyin">ㄅㄧㄣ ㄍㄨㄢˇ</span>	[sound:cmn-宾馆.mp3]	<div class="char"><span class="char-tone1">宾</span><span class="char-tone3">馆</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t1">bīn</span> <span class="t3">guǎn</span></span></div><div class='meaning'><ul><li>guesthouse</li><li> lodge</li><li> hotel</li><li> CL:個|个[ge4],家[jia1]</li></ul></div>
饼	餅	<span class="pinYinWrapper"><span class="t3">bǐng</span></span>	<span class="zhuyin">ㄅㄧㄥˇ</span>	[sound:cmn-饼.mp3]	<div class="char"><span class="char-tone3">饼</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t3">bǐng</span></span></div><div class='meaning'><ul><li>round flat cake</li><li> cookie</li><li> cake</li><li> pastry</li><li> CL:張|张[zhang1]</li></ul></div>
饼干	餅乾	<span class="pinYinWrapper"><span class="t3">bǐng</span> <span class="t1">gān</span></span>	<span class="zhuyin">ㄅㄧㄥˇ ㄍㄢ</span>	[sound:cmn-饼干.mp3]	<div class="char"><span class="char-tone3">饼</span><span class="char-tone1">干</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t3">bǐng</span> <span class="t1">gān</span></span></div><div class='meaning'><ul><li>biscuit</li><li> cracker</li><li> cookie</li><li> CL:片[pian4],塊|块[kuai4]</li></ul></div>
